annotation_set,unit_key,work_code,work_name,representation,classification,drift_value,drift_quantile_bin,text_raw_left,text_raw_right,text_norm_left,text_norm_right,drift_r0,drift_r1,drift_r2,delta_representation_left,delta_representation_right,delta_value,category_labels
INLIER_BACKGROUND,1KI:9:4,1KI,1Kings,R0,INLIER,0.1038703338287849,Q4,"And if thou wilt walke before me, as Dauid thy father walked, in integritie of heart, and in vprightnesse, to doe according to all that I haue commanded thee, and wilt keepe my Statutes, and my Iudgements:","And if thou wilt walk before me, as David thy father walked, in integrity of heart, and in uprightness, to do according to all that I have commanded thee, and wilt keep my statutes and my judgments:","and if thou wilt walke before me, as dauid thy father walked, in integritie of heart, and in vprightnesse, to doe according to all that i haue commanded thee, and wilt keepe my statutes, and my iudgements:","and if thou wilt walk before me, as david thy father walked, in integrity of heart, and in uprightness, to do according to all that i have commanded thee, and wilt keep my statutes and my judgments:",0.10387033382878497,0.10387033382878497,,R0,R1,0.0,
INLIER_BACKGROUND,1PE:1:14,1PE,1Peter,R0,INLIER,0.0178513929037475,Q1,"As obedient children, not fashioning your selues according to the former lusts, in your ignorance:","As obedient children, not fashioning yourselves according to the former lusts in your ignorance:","as obedient children, not fashioning your selues according to the former lusts, in your ignorance:","as obedient children, not fashioning yourselves according to the former lusts in your ignorance:",0.017851392903747598,0.017851392903747598,,R0,R1,0.0,
INLIER_BACKGROUND,1PE:5:1,1PE,1Peter,R0,INLIER,0.0148297609801465,Q1,"The Elders which are among you I exhort, who am also an Elder, and a witnesse of the sufferings of Christ, and also a partaker of the glory that shall be reuealed.","The elders which are among you I exhort, who am also an elder, and a witness of the sufferings of Christ, and also a partaker of the glory that shall be revealed:","the elders which are among you i exhort, who am also an elder, and a witnesse of the sufferings of christ, and also a partaker of the glory that shall be reuealed.","the elders which are among you i exhort, who am also an elder, and a witness of the sufferings of christ, and also a partaker of the glory that shall be revealed:",0.014829760980146545,0.014829760980146545,,R0,R1,0.0,
INLIER_BACKGROUND,1PE:3:12,1PE,1Peter,R0,INLIER,0.0513585033913494,Q2,"For the eyes of the Lord are ouer the righteous, and his eares are open vnto their prayers: but the face of the Lord is against them that doe euill.","For the eyes of the Lord are over the righteous, and his ears are open unto their prayers: but the face of the Lord is against them that do evil.","for the eyes of the lord are ouer the righteous, and his eares are open vnto their prayers: but the face of the lord is against them that doe euill.","for the eyes of the lord are over the righteous, and his ears are open unto their prayers: but the face of the lord is against them that do evil.",0.0513585033913494,0.0513585033913494,,R0,R1,0.0,
INLIER_BACKGROUND,1PE:3:5,1PE,1Peter,R0,INLIER,0.0376983605426162,Q2,"For after this manner in the olde time, the holy women also who trusted in God adorned themselues, beeing in subiection vnto their owne husbands.","For after this manner in the old time the holy women also, who trusted in God, adorned themselves, being in subjection unto their own husbands:","for after this manner in the olde time, the holy women also who trusted in god adorned themselues, beeing in subiection vnto their owne husbands.","for after this manner in the old time the holy women also, who trusted in god, adorned themselves, being in subjection unto their own husbands:",0.037698360542616216,0.037698360542616216,,R0,R1,0.0,
INLIER_BACKGROUND,1PE:2:13,1PE,1Peter,R0,INLIER,0.0746820267953513,Q3,"Submit your selues to euery ordinance of man for the Lordes sake, whether it be to the King, as supreme,","Submit yourselves to every ordinance of man for the Lord’s sake: whether it be to the king, as supreme;","submit your selues to euery ordinance of man for the lordes sake, whether it be to the king, as supreme,","submit yourselves to every ordinance of man for the lord’s sake: whether it be to the king, as supreme;",0.0746820267953513,0.0746820267953513,,R0,R1,0.0,
INLIER_BACKGROUND,1PE:3:15,1PE,1Peter,R0,INLIER,0.0755917461917973,Q3,"But sanctifie the Lord God in your hearts, & be ready alwayes to giue an answere to euery man that asketh you a reason of the hope that is in you, with meekenesse and feare:",But sanctify the Lord God in your hearts: and be ready always to give an answer to every man that asketh you a reason of the hope that is in you with meekness and fear:,"but sanctifie the lord god in your hearts, & be ready alwayes to giue an answere to euery man that asketh you a reason of the hope that is in you, with meekenesse and feare:",but sanctify the lord god in your hearts: and be ready always to give an answer to every man that asketh you a reason of the hope that is in you with meekness and fear:,0.07559174619179732,0.07559174619179732,,R0,R1,0.0,
INLIER_BACKGROUND,1PE:1:10,1PE,1Peter,R0,INLIER,0.0961105656146784,Q4,"Of which saluation the Prophets haue inquired, and searched diligently, who prophesied of the grace that should come vnto you,","Of which salvation the prophets have enquired and searched diligently, who prophesied of the grace that should come unto you:","of which saluation the prophets haue inquired, and searched diligently, who prophesied of the grace that should come vnto you,","of which salvation the prophets have enquired and searched diligently, who prophesied of the grace that should come unto you:",0.09611056561467846,0.09611056561467846,,R0,R1,0.0,
INLIER_BACKGROUND,1PE:1:4,1PE,1Peter,R0,INLIER,0.1021007029337432,Q4,"To an inheritance incorruptible, and vndefiled, and that fadeth not away, reserued in heauen for you,","To an inheritance incorruptible, and undefiled, and that fadeth not away, reserved in heaven for you,","to an inheritance incorruptible, and vndefiled, and that fadeth not away, reserued in heauen for you,","to an inheritance incorruptible, and undefiled, and that fadeth not away, reserved in heaven for you,",0.10210070293374329,0.10210070293374329,,R0,R1,0.0,
INLIER_BACKGROUND,1SA:2:2,1SA,1Samuel,R0,INLIER,0.0189932546425362,Q1,There is none holy as the Lord: for there is none beside thee: neither is there any Rocke like our God.,There is none holy as the LORD: for there is none beside thee: neither is there any rock like our God.,there is none holy as the lord: for there is none beside thee: neither is there any rocke like our god.,there is none holy as the lord: for there is none beside thee: neither is there any rock like our god.,0.018993254642536206,0.018993254642536206,,R0,R1,0.0,
