representation,null_model,scope_type,scope_name,n_observed,iterations_used,observed_median,null_median,null_mean,null_std,null_min,null_max,p_value_perm
R0,WORK,WORK,HEB,303,5000,0.05511672530311007,0.4711982011795044,0.4711452185153961,0.004915335352306814,0.4512237310409546,0.48760926723480225,0.0001999600079984003
R0,WORK,WORK,HOS,197,5000,0.052779998627914604,0.47870564460754395,0.47881684288978577,0.006640994801228381,0.4551888704299927,0.5021478533744812,0.0001999600079984003
R0,WORK,WORK,ISA,1292,5000,0.05629397074559894,0.48718468844890594,0.48715453745126724,0.0025870538171576447,0.4778894782066345,0.49767157435417175,0.0001999600079984003
R0,WORK,WORK,JAS,108,5000,0.05795030251984257,0.48131193220615387,0.48127067489624026,0.009173688434458857,0.45005542039871216,0.5129585266113281,0.0001999600079984003
R0,WORK,WORK,JDG,618,5000,0.057880563095976334,0.4538417011499405,0.45385124635100366,0.0035208659306073366,0.43900659680366516,0.4669591188430786,0.0001999600079984003
R0,WORK,WORK,JER,1364,5000,0.0621951622231654,0.45960715413093567,0.4595660845220089,0.0025565268536783376,0.4486084580421448,0.46809470653533936,0.0001999600079984003
R0,WORK,WORK,JHN,879,5000,0.06796042197690433,0.4784407317638397,0.47843441537618636,0.0030165415349861584,0.4678359031677246,0.4905513525009155,0.0001999600079984003
R0,WORK,WORK,JOB,1070,5000,0.05155904586169052,0.5329736173152924,0.5330042306303978,0.0029043507935721936,0.5214861631393433,0.5428044199943542,0.0001999600079984003
R0,WORK,WORK,JOE,73,5000,0.05819311630209245,0.5049054622650146,0.5047730126619339,0.013173187230058721,0.45449012517929077,0.5553399324417114,0.0001999600079984003
R0,WORK,WORK,JON,48,5000,0.1001872033039009,0.459078311920166,0.45923402829766274,0.011836463471643348,0.41366904973983765,0.5048685669898987,0.0001999600079984003
R0,WORK,WORK,JOS,658,5000,0.0680885098018254,0.4587138444185257,0.4586878953576088,0.003603254662528633,0.44578996300697327,0.47147494554519653,0.0001999600079984003
R0,WORK,WORK,JUD,25,5000,0.06457264371899851,0.49802303314208984,0.4967260768651962,0.024880997928072374,0.41264843940734863,0.5738817453384399,0.0001999600079984003
R0,WORK,WORK,LAM,154,5000,0.0549752501082309,0.5064012706279755,0.5063613107919693,0.00836222356200708,0.47602424025535583,0.5386826992034912,0.0001999600079984003
R0,WORK,WORK,LEV,859,5000,0.04971811733256992,0.46527358889579773,0.46529916708469393,0.0032799643743558447,0.4534772038459778,0.47616714239120483,0.0001999600079984003
R0,WORK,WORK,LUK,1151,5000,0.06500957333113133,0.49889835715293884,0.4988685413479805,0.002682333753557177,0.4887644052505493,0.5080188512802124,0.0001999600079984003
R0,WORK,WORK,MAL,55,5000,0.07516091016963333,0.41709232330322266,0.41702100263834,0.009786242143830249,0.38030409812927246,0.45663201808929443,0.0001999600079984003
R0,WORK,WORK,MAT,1071,5000,0.06780675145470894,0.5023057162761688,0.5022264610171318,0.0027324476434184533,0.4925152063369751,0.5131494998931885,0.0001999600079984003
R0,WORK,WORK,MIC,105,5000,0.05799056263466218,0.463545560836792,0.4637775681138039,0.008816186221249729,0.4328427314758301,0.4961845874786377,0.0001999600079984003
R0,WORK,WORK,MRK,678,5000,0.06327463314875148,0.5048363208770752,0.5048272577524185,0.003525543920866257,0.4920971691608429,0.5175268650054932,0.0001999600079984003
R0,WORK,WORK,NAH,47,5000,0.05303248785635262,0.5114416480064392,0.511622191119194,0.013140665396186609,0.4501107335090637,0.55731201171875,0.0001999600079984003
R0,WORK,WORK,NEH,406,5000,0.06496140356040359,0.47948087751865387,0.47946239899992943,0.004475060049037802,0.46136847138404846,0.4962279498577118,0.0001999600079984003
R0,WORK,WORK,NUM,1288,5000,0.05458779219694121,0.4792025536298752,0.4791653150141239,0.002656952319009734,0.46817636489868164,0.4880722165107727,0.0001999600079984003
R0,WORK,WORK,OBA,21,5000,0.07561436731644167,0.4382086992263794,0.43811051176786425,0.01774634274249849,0.36564159393310547,0.49557244777679443,0.0001999600079984003
R0,WORK,WORK,PHM,25,5000,0.06737675955975486,0.3993467688560486,0.4011996295809746,0.018206550745341093,0.3357776403427124,0.4813476800918579,0.0001999600079984003
R0,WORK,WORK,PHP,104,5000,0.04855786026805364,0.4359918385744095,0.4361753335237503,0.00927572027587367,0.4052489697933197,0.46946656703948975,0.0001999600079984003
R0,WORK,WORK,PRO,915,5000,0.0544721321861531,0.5025911331176758,0.5025659286975861,0.0032378703052239996,0.49014121294021606,0.5144674777984619,0.0001999600079984003
R0,WORK,WORK,PSA,2461,5000,0.053897785221679095,0.4848010540008545,0.4847959509253502,0.00217088853170858,0.4770432710647583,0.4931962490081787,0.0001999600079984003
R0,WORK,WORK,REV,404,5000,0.05078898631683265,0.49870190024375916,0.49865996963381765,0.0046407390620049945,0.48124799132347107,0.5137222409248352,0.0001999600079984003
R0,WORK,WORK,ROM,433,5000,0.055315436203204116,0.4643797278404236,0.4643180198311806,0.004128122284509322,0.4491686224937439,0.47907888889312744,0.0001999600079984003
R0,WORK,WORK,RUT,85,5000,0.05115913343034306,0.44673603773117065,0.44633239101171496,0.010600054752554561,0.40218639373779297,0.4797487258911133,0.0001999600079984003
R0,WORK,WORK,SNG,117,5000,0.06793377033221648,0.5150631666183472,0.5147191414117813,0.009232914075458702,0.4781688451766968,0.5477799773216248,0.0001999600079984003
R0,WORK,WORK,TIT,46,5000,0.052521885669503,0.46011847257614136,0.4605101723432541,0.013722179391606372,0.4033801257610321,0.508590042591095,0.0001999600079984003
R0,WORK,WORK,ZEC,211,5000,0.061953613495860926,0.4655764102935791,0.4658193955183029,0.006722771394918596,0.4422311782836914,0.48905062675476074,0.0001999600079984003
R0,WORK,WORK,ZEP,53,5000,0.057799863869099966,0.4574786424636841,0.4571637073278427,0.013878553217999617,0.4007987380027771,0.507673978805542,0.0001999600079984003
R0,WORK_GROUP,WORK_GROUP,NT_SHARED,7957,1000,0.060094775867548966,0.5007344484329224,0.5007132784128189,0.0010040952693771892,0.49741029739379883,0.5040043592453003,0.000999000999000999
R0,WORK_GROUP,WORK_GROUP,OT_SHARED,23145,1000,0.05886522499131441,0.5039060413837433,0.5039006783366203,0.0006081818972564669,0.5021353960037231,0.5057946443557739,0.000999000999000999
R0,CANON,CANON,ALL_SHARED,31102,500,0.05915852562468393,0.5083895623683929,0.5083673681020737,0.0005068021933109099,0.5065332055091858,0.5097693800926208,0.001996007984031936
R1,WORK,WORK,1CH,942,5000,0.0819292113116305,0.45014263689517975,0.45015911808609965,0.0029389578810329856,0.4389415383338928,0.462078720331192,0.0001999600079984003
R1,WORK,WORK,1CO,437,5000,0.04792351691674468,0.494985967874527,0.49493534979820253,0.0041268103520714205,0.4820373058319092,0.510318398475647,0.0001999600079984003
R1,WORK,WORK,1JN,105,5000,0.08074298700686466,0.4197806119918823,0.4196733811736107,0.008457232140141558,0.390728235244751,0.44732165336608887,0.0001999600079984003
R1,WORK,WORK,1KI,816,5000,0.06070674127055653,0.4691760987043381,0.46922145789265635,0.003464940421696452,0.4557793140411377,0.4813458323478699,0.0001999600079984003
R1,WORK,WORK,1PE,105,5000,0.05511734887761188,0.43221157789230347,0.43256988657712936,0.007435220453361871,0.4047744870185852,0.4585001468658447,0.0001999600079984003
R1,WORK,WORK,1SA,810,5000,0.0654429415941209,0.45049092173576355,0.45042503749132157,0.003155198499700855,0.43834221363067627,0.46299824118614197,0.0001999600079984003
R1,WORK,WORK,1TH,89,5000,0.06958958150512606,0.43967175483703613,0.4397700428724289,0.009200802537359304,0.40621888637542725,0.47159314155578613,0.0001999600079984003
R1,WORK,WORK,1TI,113,5000,0.04883181383949409,0.47609543800354004,0.47621585062742233,0.009666662880669901,0.4442795515060425,0.5104767084121704,0.0001999600079984003
R1,WORK,WORK,2CH,822,5000,0.06473665559904501,0.44784238934516907,0.4478342624843121,0.002997545454934382,0.43677788972854614,0.4581984281539917,0.0001999600079984003
