representation,null_model,scope_type,scope_name,median_null,median_observed,sgi,sgi_norm
R1,WORK,WORK,2KI,0.44607028365135193,0.059807846315606095,0.38626243733574583,0.8659228186508119
R1,WORK,WORK,2PE,0.4768638014793396,0.06666334750428193,0.41020045397505767,0.8602046385205228
R1,WORK,WORK,2SA,0.4607963562011719,0.07802694030987867,0.3827694158912932,0.8306693634621232
R1,WORK,WORK,2TH,0.44662439823150635,0.06854822066021093,0.3780761775712954,0.8465193103385293
R1,WORK,WORK,2TI,0.4816305637359619,0.05765182162348281,0.4239787421124791,0.880298664652253
R1,WORK,WORK,ACT,0.48864662647247314,0.054692006677398486,0.43395461979507466,0.8880745231534317
R1,WORK,WORK,AMO,0.4524611085653305,0.05849756095268982,0.3939635476126407,0.8707125102129227
R1,WORK,WORK,COL,0.4539507031440735,0.048019912270228504,0.405930790873845,0.894217781936141
R1,WORK,WORK,DAN,0.4716300070285797,0.049481360093336146,0.42214864693524357,0.8950843683482216
R1,WORK,WORK,DEU,0.4520711302757263,0.0522215391599139,0.3998495911158124,0.8844837998656029
R1,WORK,WORK,ECC,0.49966493248939514,0.07150933614493132,0.4281555963444638,0.8568854216191186
R1,WORK,WORK,EPH,0.4445474147796631,0.05743596089950953,0.38711145388015356,0.8707990216792122
R1,WORK,WORK,EST,0.43821796774864197,0.052476763686392425,0.38574120406224954,0.8802496302102961
R1,WORK,WORK,EXO,0.4950070381164551,0.05166435828552185,0.44334267983093323,0.8956290430089454
R1,WORK,WORK,EZE,0.48644813895225525,0.05226969370388279,0.43417844524837246,0.8925482707849088
R1,WORK,WORK,EZR,0.4612576365470886,0.06984769505440602,0.3914099414926826,0.8485711898944888
R1,WORK,WORK,GAL,0.48112839460372925,0.05863426824524842,0.4224941263584808,0.8781317650280416
R1,WORK,WORK,GEN,0.4889225959777832,0.06608136346918425,0.42284123250859895,0.8648428933070073
R1,WORK,WORK,HAB,0.4851299226284027,0.05503171687069841,0.4300982057577043,0.8865629302506427
R1,WORK,WORK,HAG,0.4553457051515579,0.07046004938006295,0.38488565577149497,0.8452603185164316
R1,WORK,WORK,HEB,0.4710524082183838,0.05511672530311007,0.4159356829152737,0.8829923712489386
R1,WORK,WORK,HOS,0.47889119386672974,0.052779998627914604,0.42611119523881513,0.8897870762630838
R1,WORK,WORK,ISA,0.487094983458519,0.05629397074559894,0.43080101271292004,0.8844291716044886
R1,WORK,WORK,JAS,0.48140765726566315,0.05795030251984257,0.4234573547458206,0.8796232223454998
R1,WORK,WORK,JDG,0.4538875073194504,0.057880563095976334,0.39600694422347404,0.8724781754012025
R1,WORK,WORK,JER,0.45961032807826996,0.0621951622231654,0.39741516585510456,0.8646784930112063
R1,WORK,WORK,JHN,0.47843223810195923,0.06796042197690433,0.4104718161250549,0.8579518340015766
R1,WORK,WORK,JOB,0.5330277979373932,0.05155904586169052,0.48146875207570267,0.9032713752243248
R1,WORK,WORK,JOE,0.5053383708000183,0.05819311630209245,0.44714525449792586,0.8848432660873051
