representation,null_model,scope_type,scope_name,n_observed,n_null,mwu_stat,mwu_p,ks_stat,ks_p,cliffs_delta,cliffs_delta_interpretation,mwu_p_fdr,ks_p_fdr
R1,WORK,WORK,HAG,38,100000,2603.0,7.798609497279324e-27,0.98947,1.423338185148288e-75,-0.99863,large; observed_lower_than_null,8.228454115239602e-27,1.478506331859462e-75
R1,WORK,WORK,HEB,303,100000,1056.0,2.2944591914393093e-199,0.99776,0.0,-0.9999302970297028,large; observed_lower_than_null,4.660679559398174e-199,0.0
R1,WORK,WORK,HOS,197,100000,46.0,1.366481051350459e-130,0.99984,0.0,-0.9999953299492386,large; observed_lower_than_null,2.4120692286082915e-130,0.0
R1,WORK,WORK,ISA,1292,100000,4621.0,0.0,0.9976660061919504,0.0,-0.99992846749226,large; observed_lower_than_null,0.0,0.0
R1,WORK,WORK,JAS,108,100000,606.0,1.205797172241138e-72,0.99771,1.4563376872459087e-285,-0.9998877777777778,large; observed_lower_than_null,1.7588053735953787e-72,2.011847939081977e-285
R1,WORK,WORK,JDG,618,100000,17257.0,0.0,0.9958618770226536,0.0,-0.9994415210355988,large; observed_lower_than_null,0.0,0.0
R1,WORK,WORK,JER,1364,100000,17844.0,0.0,0.993108035190616,0.0,-0.999738357771261,large; observed_lower_than_null,0.0,0.0
R1,WORK,WORK,JHN,879,100000,46683.0,0.0,0.9860893742889648,0.0,-0.9989378156996588,large; observed_lower_than_null,0.0,0.0
R1,WORK,WORK,JOB,1070,100000,8551.0,0.0,0.992072523364486,0.0,-0.9998401682242992,large; observed_lower_than_null,0.0,0.0
R1,WORK,WORK,JOE,73,100000,965.0,8.591203128860634e-50,0.99035,1.4843074585605376e-147,-0.9997356164383562,large; observed_lower_than_null,1.0465647447884773e-49,1.714631029716483e-147
R1,WORK,WORK,JON,48,100000,2957.0,2.200301903559957e-33,0.98382,2.147824662727236e-86,-0.9987679166666666,large; observed_lower_than_null,2.4570037923086184e-33,2.2841944825829335e-86
R1,WORK,WORK,JOS,658,100000,30293.0,0.0,0.9840812158054713,0.0,-0.9990792401215806,large; observed_lower_than_null,0.0,0.0
R1,WORK,WORK,JUD,25,100000,0.0,2.3767423700667352e-18,1.0,0.0,-1.0,large; observed_lower_than_null,2.4498729302707153e-18,0.0
R1,WORK,WORK,LAM,154,100000,19668.0,4.105786224920055e-102,0.9848764935064936,9.279285863182596e-281,-0.9974457142857144,large; observed_lower_than_null,6.7094555382839924e-102,1.2559841471378463e-280
R1,WORK,WORK,LEV,859,100000,179237.0,0.0,0.9765019790454016,0.0,-0.9958268451688008,large; observed_lower_than_null,0.0,0.0
R1,WORK,WORK,LUK,1151,100000,43266.0,0.0,0.994515951346655,0.0,-0.9992482015638576,large; observed_lower_than_null,0.0,0.0
R1,WORK,WORK,MAL,55,100000,889.0,5.055326829727382e-38,0.99393,2.3790742959567526e-122,-0.9996767272727272,large; observed_lower_than_null,5.853525489947507e-38,2.5918370378715846e-122
R1,WORK,WORK,MAT,1071,100000,57321.0,0.0,0.9948788795518207,0.0,-0.9989295798319328,large; observed_lower_than_null,0.0,0.0
R1,WORK,WORK,MIC,105,100000,85.0,1.0565622026495176e-70,0.99963,0.0,-0.9999838095238096,large; observed_lower_than_null,1.480826676338924e-70,0.0
R1,WORK,WORK,MRK,678,100000,72903.0,0.0,0.993465221238938,0.0,-0.9978494690265488,large; observed_lower_than_null,0.0,0.0
R1,WORK,WORK,NAH,47,100000,103.0,8.375523270909626e-33,0.99897,8.023790056806805e-141,-0.999956170212766,large; observed_lower_than_null,9.199345231982703e-33,8.9598988967676e-141
R1,WORK,WORK,NEH,406,100000,15596.0,1.1227998028705136e-265,0.9856638916256156,0.0,-0.999231724137931,large; observed_lower_than_null,2.5075862264108137e-265,0.0
R1,WORK,WORK,NUM,1288,100000,120786.0,0.0,0.989073602484472,0.0,-0.9981244409937888,large; observed_lower_than_null,0.0,0.0
R1,WORK,WORK,OBA,21,100000,928.0,1.1011629545180306e-15,0.99536,1.9856723450186467e-49,-0.9991161904761904,large; observed_lower_than_null,1.1012969978680684e-15,2.000602212274426e-49
R1,WORK,WORK,PHM,25,100000,325.0,2.4241398447552856e-18,0.99675,1.2534702191518694e-62,-0.99974,large; observed_lower_than_null,2.46296339057095e-18,1.2821756440179426e-62
R1,WORK,WORK,PHP,104,100000,2234.0,5.3968315416926254e-70,0.9868546153846154,4.502491822116054e-196,-0.9995703846153846,large; observed_lower_than_null,7.268356595752164e-70,5.691829284561804e-196
R1,WORK,WORK,PRO,915,100000,13722.0,0.0,0.99194131147541,0.0,-0.9997000655737704,large; observed_lower_than_null,0.0,0.0
R1,WORK,WORK,PSA,2461,100000,94560.0,0.0,0.9857468833807396,0.0,-0.9992315318976026,large; observed_lower_than_null,0.0,0.0
R1,WORK,WORK,REV,404,100000,2675.0,1.0192945681887068e-264,0.99929,0.0,-0.9998675742574258,large; observed_lower_than_null,2.2029914860852695e-264,0.0
R1,WORK,WORK,ROM,433,100000,3062.0,1.857245914824368e-283,0.9943605311778292,0.0,-0.9998585681293304,large; observed_lower_than_null,4.290878492870091e-283,0.0
R1,WORK,WORK,RUT,85,100000,1648.0,1.300912823337952e-57,0.9880352941176472,8.369553857834598e-164,-0.9996122352941176,large; observed_lower_than_null,1.6445501728989207e-57,1.0103785738286811e-163
R1,WORK,WORK,SNG,117,100000,3239.0,1.9185034750399248e-78,0.99846,0.0,-0.9994463247863248,large; observed_lower_than_null,2.948505675295261e-78,0.0
R1,WORK,WORK,TIT,46,100000,128.0,3.794028783199034e-32,0.99872,1.7087896287335254e-133,-0.999944347826087,large; observed_lower_than_null,4.040772336754554e-32,1.8923785971098544e-133
R1,WORK,WORK,ZEC,211,100000,8261.0,1.785011607755866e-139,0.992640663507109,0.0,-0.9992169668246446,large; observed_lower_than_null,3.2323183167471086e-139,0.0
R1,WORK,WORK,ZEP,53,100000,0.0,9.769416331052568e-37,1.0,0.0,-1.0,large; observed_lower_than_null,1.1094082952212237e-36,0.0
R1,WORK_GROUP,WORK_GROUP,NT_SHARED,7957,100000,296848.0,0.0,0.9943897348246828,0.0,-0.9992538695488248,large; observed_lower_than_null,0.0,0.0
R1,WORK_GROUP,WORK_GROUP,OT_SHARED,23145,100000,318387.0,0.0,0.9945039122920718,0.0,-0.9997248762151651,large; observed_lower_than_null,0.0,0.0
R1,CANON,CANON,ALL_SHARED,31102,100000,570400.0,0.0,0.994682620410263,0.0,-0.9996332068677256,large; observed_lower_than_null,0.0,0.0
