scope_type,scope_name,representation,n,median_drift,mad_drift,p95_drift,p99_drift,threshold_primary,threshold_secondary,threshold_source,small_sample_flag,mad_zero_flag,percentile_method
WORK,PHM,R0,25,0.0673767595597548,0.0272423528935993,0.1330689386710326,0.1730982465961674,0.1491038182405527,0.13548264179375305,WORK,True,False,HF_TYPE_7
WORK,PHM,R1,25,0.0673767595597548,0.0272423528935993,0.1330689386710326,0.1730982465961674,0.1491038182405527,0.13548264179375305,WORK,True,False,HF_TYPE_7
WORK,PHP,R0,104,0.0485578602680536,0.0286273979958793,0.171683262334117,0.2439662099883969,0.2439662099883969,0.171683262334117,WORK,False,False,HF_TYPE_7
WORK,PHP,R1,104,0.0485578602680536,0.0286273979958793,0.171683262334117,0.2439662099883969,0.2439662099883969,0.171683262334117,WORK,False,False,HF_TYPE_7
WORK,PRO,R0,915,0.0544721321861531,0.0311255078025634,0.1658406971808283,0.2365615998472131,0.2365615998472131,0.1658406971808283,WORK,False,False,HF_TYPE_7
WORK,PRO,R1,915,0.0544721321861531,0.0311255078025634,0.1658406971808283,0.2365615998472131,0.2365615998472131,0.1658406971808283,WORK,False,False,HF_TYPE_7
WORK,PSA,R0,2461,0.053897785221679,0.0303277986066059,0.1720894079000068,0.2517472342683223,0.2517472342683223,0.1720894079000068,WORK,False,False,HF_TYPE_7
WORK,PSA,R1,2461,0.053897785221679,0.0303277986066059,0.1720894079000068,0.2517472342683223,0.2517472342683223,0.1720894079000068,WORK,False,False,HF_TYPE_7
WORK,REV,R0,404,0.0507889863168326,0.0275193370103802,0.134798252815794,0.1680160935170368,0.1680160935170368,0.134798252815794,WORK,False,False,HF_TYPE_7
WORK,REV,R1,404,0.0507889863168326,0.0275193370103802,0.134798252815794,0.1680160935170368,0.1680160935170368,0.134798252815794,WORK,False,False,HF_TYPE_7
WORK,ROM,R0,433,0.0553154362032041,0.0277623789284805,0.1560124813251275,0.2309266196192162,0.2309266196192162,0.1560124813251275,WORK,False,False,HF_TYPE_7
WORK,ROM,R1,433,0.0553154362032041,0.0277623789284805,0.1560124813251275,0.2309266196192162,0.2309266196192162,0.1560124813251275,WORK,False,False,HF_TYPE_7
WORK,RUT,R0,85,0.051159133430343,0.022926588188594,0.1190568111917592,0.1897595273236972,0.1897595273236972,0.1190568111917592,WORK,False,False,HF_TYPE_7
WORK,RUT,R1,85,0.051159133430343,0.022926588188594,0.1190568111917592,0.1897595273236972,0.1897595273236972,0.1190568111917592,WORK,False,False,HF_TYPE_7
WORK,SNG,R0,117,0.0679337703322164,0.0295905843897414,0.1631926633448978,0.2217445237246225,0.2217445237246225,0.1631926633448978,WORK,False,False,HF_TYPE_7
WORK,SNG,R1,117,0.0679337703322164,0.0295905843897414,0.1631926633448978,0.2217445237246225,0.2217445237246225,0.1631926633448978,WORK,False,False,HF_TYPE_7
WORK,TIT,R0,46,0.052521885669503,0.0242281982492021,0.1497425792419234,0.2131741064930451,0.1252064804171093,0.11309238129250825,WORK,True,False,HF_TYPE_7
WORK,TIT,R1,46,0.052521885669503,0.0242281982492021,0.1497425792419234,0.2131741064930451,0.1252064804171093,0.11309238129250825,WORK,True,False,HF_TYPE_7
WORK,ZEC,R0,211,0.0619536134958609,0.037256247158558,0.1701784058121591,0.1979117914121707,0.1979117914121707,0.1701784058121591,WORK,False,False,HF_TYPE_7
WORK,ZEC,R1,211,0.0619536134958609,0.037256247158558,0.1701784058121591,0.1979117914121707,0.1979117914121707,0.1701784058121591,WORK,False,False,HF_TYPE_7
WORK,ZEP,R0,53,0.0577998638690999,0.0299404164912036,0.1354181251902889,0.1459208628019334,0.1476211133427107,0.1354181251902889,WORK,False,False,HF_TYPE_7
WORK,ZEP,R1,53,0.0577998638690999,0.0299404164912036,0.1354181251902889,0.1459208628019334,0.1476211133427107,0.1354181251902889,WORK,False,False,HF_TYPE_7
