rank_overall,rank_within_representation,rank_within_classification,rank_within_work,unit_key,work_code,work_name,representation,classification,drift_value,threshold_primary,threshold_secondary,threshold_source,excess_over_primary,excess_over_secondary,drift_to_primary_ratio,drift_to_secondary_ratio,small_sample_flag,mad_zero_flag
78,39,39,4,PSA:48:12,PSA,Psalms,R1,STRONG_OUTLIER,0.3362723397153049,0.2517472342683223,0.1720894079000068,WORK,0.0845251054469826,0.1641829318152981,1.3357538591939102,1.954055998093138,False,False
79,40,40,1,ISA:59:9,ISA,Isaiah,R0,STRONG_OUTLIER,0.3319670946284206,0.2203930443072171,0.1556613590945488,WORK,0.11157405032120352,0.1763057355338718,1.5062503250586927,2.132623642498095,False,False
80,40,40,1,ISA:59:9,ISA,Isaiah,R1,STRONG_OUTLIER,0.3319670946284206,0.2203930443072171,0.1556613590945488,WORK,0.11157405032120352,0.1763057355338718,1.5062503250586927,2.132623642498095,False,False
81,41,41,2,LEV:23:5,LEV,Leviticus,R0,STRONG_OUTLIER,0.3306021974735281,0.2536937138059426,0.1520578598094974,WORK,0.07690848366758551,0.1785443376640307,1.3031548654233307,2.1741868384029366,False,False
82,41,41,2,LEV:23:5,LEV,Leviticus,R1,STRONG_OUTLIER,0.3306021974735281,0.2536937138059426,0.1520578598094974,WORK,0.07690848366758551,0.1785443376640307,1.3031548654233307,2.1741868384029366,False,False
83,42,42,1,2SA:5:4,2SA,2Samuel,R0,STRONG_OUTLIER,0.3299318407727513,0.2628056201398644,0.2042033708550034,WORK,0.06712622063288687,0.1257284699177479,1.2554215568037033,1.6157022256357492,False,False
84,42,42,1,2SA:5:4,2SA,2Samuel,R1,STRONG_OUTLIER,0.3299318407727513,0.2628056201398644,0.2042033708550034,WORK,0.06712622063288687,0.1257284699177479,1.2554215568037033,1.6157022256357492,False,False
85,43,43,1,COL:1:8,COL,Colossians,R0,STRONG_OUTLIER,0.327774974880342,0.2730871053769968,0.138006481036082,WORK,0.0546878695033452,0.18976849384426,1.200257970539651,2.375069434562604,False,False
86,43,43,1,COL:1:8,COL,Colossians,R1,STRONG_OUTLIER,0.327774974880342,0.2730871053769968,0.138006481036082,WORK,0.0546878695033452,0.18976849384426,1.200257970539651,2.375069434562604,False,False
87,44,44,3,JOB:21:25,JOB,Job,R0,STRONG_OUTLIER,0.3244934443815159,0.2593421210617336,0.1879247125578857,WORK,0.0651513233197823,0.1365687318236302,1.251217669744722,1.7267204507845846,False,False
