scope_type,scope_name,representation,n,median_drift,mad_drift,p95_drift,p99_drift,mean_drift,std_drift,min_drift,max_drift,cssi,tsi_p95,tsi_p99
WORK,DAN,R0,357,0.049481360093336146,0.02188147199991286,0.1564706148641274,0.22305995176213625,0.060785783621701624,0.04522130422627289,0.0,0.2854073144041377,0.9505186399066639,0.8435293851358726,0.7769400482378638
WORK,DAN,R1,357,0.049481360093336146,0.02188147199991286,0.1564706148641274,0.22305995176213625,0.060785783621701624,0.04522130422627289,0.0,0.2854073144041377,0.9505186399066639,0.8435293851358726,0.7769400482378638
WORK,DEU,R0,959,0.0522215391599139,0.027485849942105234,0.15826899726936305,0.22777366066766874,0.0640266001113776,0.050756632048647644,0.0,0.49177265043477303,0.9477784608400861,0.841731002730637,0.7722263393323312
WORK,DEU,R1,959,0.0522215391599139,0.027485849942105234,0.15826899726936305,0.22777366066766874,0.0640266001113776,0.050756632048647644,0.0,0.49177265043477303,0.9477784608400861,0.841731002730637,0.7722263393323312
WORK,ECC,R0,222,0.07150933614493132,0.038286106811001475,0.18795182361661344,0.24629264411617546,0.08580945169984962,0.057935560503068514,0.0,0.26587153797600105,0.9284906638550687,0.8120481763833866,0.7537073558838245
WORK,ECC,R1,222,0.07150933614493132,0.038286106811001475,0.18795182361661344,0.24629264411617546,0.08580945169984962,0.057935560503068514,0.0,0.26587153797600105,0.9284906638550687,0.8120481763833866,0.7537073558838245
WORK,EPH,R0,155,0.05743596089950953,0.02985422116015557,0.20293105921546728,0.3000571320932129,0.07254134816821689,0.06299134102735894,0.0,0.36058112964711087,0.9425640391004905,0.7970689407845327,0.6999428679067872
WORK,EPH,R1,155,0.05743596089950953,0.02985422116015557,0.20293105921546728,0.3000571320932129,0.07254134816821689,0.06299134102735894,0.0,0.36058112964711087,0.9425640391004905,0.7970689407845327,0.6999428679067872
WORK,EST,R0,167,0.052476763686392425,0.025711004107722868,0.155955053094019,0.2106098417089447,0.06416296933884658,0.046192253444860366,0.0,0.21539063191300145,0.9475232363136076,0.844044946905981,0.7893901582910553
WORK,EST,R1,167,0.052476763686392425,0.025711004107722868,0.155955053094019,0.2106098417089447,0.06416296933884658,0.046192253444860366,0.0,0.21539063191300145,0.9475232363136076,0.844044946905981,0.7893901582910553
WORK,EXO,R0,1213,0.05166435828552185,0.026391390116483282,0.14581377128884387,0.2061688329235183,0.06161975087553066,0.04541221995733797,0.0,0.3164479492117608,0.9483356417144782,0.8541862287111561,0.7938311670764817
WORK,EXO,R1,1213,0.05166435828552185,0.026391390116483282,0.14581377128884387,0.2061688329235183,0.06161975087553066,0.04541221995733797,0.0,0.3164479492117608,0.9483356417144782,0.8541862287111561,0.7938311670764817
